Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C15, C16, C17, C2, C23, C24, C25, C26, C3, C4, C5, C8, C9",0603,16,100n,
"C11, C12, C21, C22",0603,4,22u,
"C13, C18, C19, C20, C6, C7",1206,6,4.7u,
"D1, D2, D3, D4, D5, D6",0603,6,LED_Small,
"D7, D8",SOT-143,2,PRTR5V0U2X,
"F1, F2",1812,2,Polyfuse,
"J1, J6",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J2, J4",Jack_3.5mm_PJ31060-I_Horizontal,2,AudioJack4,
"J3, J5",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_16P,
"R1, R6",0603,2,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R7, R8, R9",0603,16,22,
"R2, R3, R4, R5",0603,4,5.1k,
"SW1, SW51",SW_SPST_B3U-1000P,2,SW_Push,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW6, SW7, SW8, SW9",SW_choc_v1_HS_CPG135001S30_1u,46,SW_Push_45deg,
"SW2, SW38",ROT_Alps_EC11E-Switch,2,RotaryEncoder_Switch,
"U2, U6",SOT-223-3_TabPin2,2,AMS1117-3.3,
"U4, U5",LQFP-48_7x7mm_P0.5mm,2,STM32F072CBTx,
